,coordinates_x1,coordinates_y1,coordinates_x2,coordinates_y2,current_frame,track_id,video_file,bird_distance,bird_Depth,coefs,ref_depth_values,ref_distance_values,ref_choosen_points,ref_circles,ignore
0,214.8988037109375,988.4346313476562,245.0621337890625,1034.368896484375,0.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,207.20746,1.5609033,"[array([256.30246], dtype=float32), np.float32(43.00609)]","[[3.474534  ]
 [3.0101945 ]
 [2.0421443 ]
 [1.1292909 ]
 [0.89411974]
 [1.1938609 ]
 [1.1874266 ]
 [1.5688175 ]
 [2.2009258 ]
 [3.4160104 ]
 [4.8079886 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
1,222.0738525390625,990.0508422851562,254.29348754882807,1037.3653564453125,1.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,170.40619,2.2722452,"[array([363.30554], dtype=float32), np.float32(10.517822)]","[[3.6656587]
 [3.151992 ]
 [2.2341597]
 [1.4156543]
 [1.1670434]
 [1.3319987]
 [1.5379673]
 [1.7724409]
 [2.392521 ]
 [3.3845057]
 [4.7788997]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
2,227.81224060058597,991.3323974609376,260.9002990722656,1038.7357177734375,2.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,182.62634,2.057413,"[array([352.637], dtype=float32), np.float32(11.228088)]","[[3.6319394]
 [3.079292 ]
 [2.186429 ]
 [1.3857398]
 [1.1621264]
 [1.316095 ]
 [1.3849323]
 [1.7358124]
 [2.334135 ]
 [3.3666792]
 [4.7701373]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
3,235.1480865478516,995.58349609375,268.7675170898437,1042.3876953125,3.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,218.46582,1.7007177,"[array([351.30197], dtype=float32), np.float32(11.9048)]","[[3.6491513]
 [3.0778103]
 [2.109    ]
 [1.4173115]
 [1.155998 ]
 [1.2949542]
 [1.377596 ]
 [1.7251629]
 [2.437037 ]
 [3.435172 ]
 [4.763621 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
4,242.1990509033203,999.391845703125,275.7577209472656,1046.771484375,4.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,213.08028,1.7553403,"[array([358.29886], dtype=float32), np.float32(8.960968)]","[[3.6550078]
 [3.1151068]
 [2.1417537]
 [1.3864924]
 [1.2029359]
 [1.2748095]
 [1.4079726]
 [1.725787 ]
 [2.3714778]
 [3.4244907]
 [4.7310414]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
5,245.34873962402344,1003.1658935546876,278.8655700683594,1049.6016845703125,5.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,200.56119,1.8652961,"[array([357.63373], dtype=float32), np.float32(8.830917)]","[[3.6549323]
 [3.0944843]
 [2.1292408]
 [1.3828413]
 [1.2008777]
 [1.2638376]
 [1.4175893]
 [1.7119617]
 [2.3838408]
 [3.411331 ]
 [4.7174144]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
6,247.9544219970703,1006.2680053710938,283.0741271972656,1052.98486328125,6.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,204.49852,1.7977467,"[array([345.98776], dtype=float32), np.float32(12.042175)]","[[3.6173475]
 [3.0788012]
 [2.118804 ]
 [1.3639779]
 [1.2025493]
 [1.2936895]
 [1.2607559]
 [1.7712536]
 [2.2936645]
 [3.3473277]
 [4.725238 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
7,250.5170135498047,1011.0263061523438,286.22125244140625,1056.523681640625,7.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,177.7487,2.0495431,"[array([321.2007], dtype=float32), np.float32(21.030502)]","[[3.5837464]
 [3.0579853]
 [2.078162 ]
 [1.2137045]
 [1.118543 ]
 [1.2779835]
 [1.3376153]
 [1.7807691]
 [2.2817614]
 [3.3291137]
 [4.7000885]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
8,251.1659240722656,1013.7899169921876,286.6893920898437,1058.5947265625,8.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,208.73846,1.6996583,"[array([317.1826], dtype=float32), np.float32(22.122955)]","[[3.5612056]
 [3.0361488]
 [2.088572 ]
 [1.2013117]
 [1.0919796]
 [1.2848164]
 [1.3574785]
 [1.7418219]
 [2.2975147]
 [3.27613  ]
 [4.5937843]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
9,249.8323211669922,1019.2692260742188,286.4918518066406,1062.4056396484375,9.0,18.0,./DATASET/results_videos_artigo/10-10-2024/10-10-2024_08-57-19_track_273_cam_0_tracking_13_processado.avi,215.83803,1.6826452,"[array([336.8301], dtype=float32), np.float32(15.659103)]","[[3.5941436]
 [2.9985409]
 [2.1171827]
 [1.2985706]
 [1.1046425]
 [1.2798066]
 [1.4670738]
 [1.730779 ]
 [2.3068368]
 [3.2835302]
 [4.671584 ]]","[ 97.03452097 132.67746731 182.81089    238.42127226 296.38054131
 325.82715964 267.20685889 210.19780552 156.71269605 112.05005222
  90.47079257]",[],10-10-2024_09-02-35_track_275_cam_0.png,1
